iter	Passed	Remaining
0	3	309
1	5	280
2	9	294
3	11	277
4	14	271
5	17	272
6	19	265
7	22	254
8	24	248
9	26	239
10	27	226
11	29	216
12	30	206
13	32	197
14	33	189
15	34	181
16	36	176
17	37	170
18	38	165
19	40	160
20	41	154
21	42	149
22	43	144
23	44	140
24	45	136
25	46	133
26	47	129
27	49	126
28	50	122
29	51	120
30	53	119
31	55	117
32	56	114
33	57	112
34	59	109
35	60	107
36	61	105
37	62	102
38	64	100
39	65	97
40	66	96
41	67	93
42	68	90
43	69	88
44	70	86
45	71	84
46	73	82
47	74	80
48	75	78
49	76	76
50	77	74
51	78	72
52	80	70
53	81	69
54	82	67
55	83	65
56	85	64
57	86	62
58	87	60
59	88	58
60	89	57
61	90	55
62	91	53
63	92	52
64	94	50
65	95	49
66	97	47
67	98	46
68	99	44
69	101	43
70	102	41
71	103	40
72	104	38
73	105	37
74	106	35
75	107	33
76	108	32
77	109	31
78	111	29
79	112	28
80	113	26
81	114	25
82	116	23
83	117	22
84	118	20
85	119	19
86	120	18
87	121	16
88	122	15
89	124	13
90	125	12
91	127	11
92	128	9
93	129	8
94	130	6
95	131	5
96	132	4
97	133	2
98	135	1
99	136	0
